-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 08/01/2018 through 03/24/2019 
Location: Latitude  41.3963   Longitude 2.1748 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 302.35 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PS              MERRA-2 Surface Pressure (kPa) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/hour) 
T2M             MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,HR,PS,WS10M,QV2M,PRECTOTCORR,T2M
2018,8,5,1,98.08,2.7,13.37,0.0,25.18
2018,8,5,2,98.06,3.01,12.82,0.0,24.73
2018,8,5,3,98.06,3.28,12.33,0.0,24.33
2018,8,5,4,98.06,3.48,11.96,0.0,23.98
2018,8,5,5,98.08,3.33,12.27,0.0,25.08
2018,8,5,6,98.11,3.88,11.72,0.0,27.73
2018,8,5,7,98.13,2.51,11.78,0.0,30.37
2018,8,5,8,98.14,1.63,12.02,0.0,32.8
2018,8,5,9,98.13,1.87,12.08,0.0,33.76
2018,8,5,10,98.12,2.79,12.21,0.0,34.3
2018,8,5,11,98.1,3.59,12.39,0.01,34.76
2018,8,5,12,98.08,4.02,12.45,0.01,34.71
2018,8,5,13,98.06,4.27,12.63,0.02,34.69
2018,8,5,14,98.04,4.26,12.7,0.04,34.2
2018,8,5,15,98.02,3.96,12.82,0.04,33.58
2018,8,5,16,98.01,3.78,12.82,0.03,32.62
2018,8,5,17,98.0,3.71,12.94,0.02,31.25
2018,8,5,18,98.03,2.78,14.28,0.01,29.2
2018,8,5,19,98.08,2.12,15.2,0.03,27.71
2018,8,5,20,98.12,1.48,15.5,0.06,26.98
2018,8,5,21,98.14,0.89,15.56,0.06,26.66
2018,8,5,22,98.15,0.38,15.44,0.07,26.7
2018,8,5,23,98.14,0.79,15.75,0.07,26.45
2018,8,6,0,98.11,1.15,15.44,0.07,26.26
2018,8,6,1,98.08,1.3,14.95,0.05,26.16
2018,8,6,2,98.07,1.38,14.28,0.04,26.05
2018,8,6,3,98.05,1.38,13.73,0.03,25.83
2018,8,6,4,98.05,1.41,13.43,0.02,25.5
2018,8,6,5,98.06,1.32,14.28,0.02,26.0
2018,8,6,6,98.08,1.37,13.37,0.02,27.41
2018,8,6,7,98.09,0.81,11.78,0.01,29.37
2018,8,6,8,98.09,1.94,11.84,0.01,30.58
2018,8,6,9,98.09,2.76,12.15,0.01,31.51
2018,8,6,10,98.08,3.35,12.63,0.02,32.55
2018,8,6,11,98.04,3.76,12.88,0.02,33.08
2018,8,6,12,98.0,4.08,13.06,0.03,33.32
2018,8,6,13,97.95,4.39,13.18,0.04,33.22
2018,8,6,14,97.93,4.61,13.43,0.06,32.78
2018,8,6,15,97.91,4.61,13.67,0.08,32.08
2018,8,6,16,97.9,4.56,13.92,0.08,31.04
2018,8,6,17,97.91,4.43,14.28,0.07,29.63
2018,8,6,18,97.93,3.71,15.08,0.04,27.79
2018,8,6,19,97.97,2.73,15.99,0.05,26.19
2018,8,6,20,98.0,2.09,16.48,0.06,25.43
2018,8,6,21,98.0,1.61,16.85,0.06,24.9
2018,8,6,22,98.0,1.47,17.03,0.06,24.57
2018,8,6,23,97.98,1.24,17.09,0.06,24.4
2018,8,7,0,97.93,1.04,17.15,0.06,24.24
2018,8,7,1,97.88,0.87,17.09,0.05,24.09
2018,8,7,2,97.85,0.73,16.97,0.05,23.9
2018,8,7,3,97.83,0.51,16.78,0.04,23.74
2018,8,7,4,97.83,0.45,16.6,0.04,23.76
2018,8,7,5,97.85,0.65,16.78,0.04,24.19
2018,8,7,6,97.86,1.7,16.54,0.03,25.58
2018,8,7,7,97.87,2.68,15.87,0.03,27.09
2018,8,7,8,97.88,3.33,15.44,0.02,28.43
2018,8,7,9,97.87,3.92,15.56,0.02,29.3
2018,8,7,10,97.86,4.42,15.81,0.03,29.91
2018,8,7,11,97.85,4.79,15.93,0.03,30.28
2018,8,7,12,97.83,4.96,15.99,0.03,30.4
2018,8,7,13,97.81,4.96,15.93,0.03,30.3
2018,8,7,14,97.79,4.84,15.93,0.04,29.99
2018,8,7,15,97.78,4.69,15.81,0.05,29.62
2018,8,7,16,97.76,4.49,15.62,0.06,28.98
2018,8,7,17,97.76,4.2,15.62,0.06,27.96
2018,8,7,18,97.79,3.5,15.93,0.06,26.58
2018,8,7,19,97.86,2.72,16.24,0.07,25.33
2018,8,7,20,97.91,2.35,16.48,0.08,24.76
2018,8,7,21,97.91,1.9,16.72,0.09,24.27
2018,8,7,22,97.89,1.8,16.85,0.09,23.88
2018,8,7,23,97.86,1.86,16.91,0.08,23.62
2018,8,8,0,97.86,1.73,16.85,0.09,23.4
2018,8,8,1,97.86,1.63,16.72,0.09,23.2
2018,8,8,2,97.87,1.66,16.72,0.09,23.02
2018,8,8,3,97.87,1.62,16.66,0.1,22.91
2018,8,8,4,97.87,1.41,16.54,0.1,22.99
2018,8,8,5,97.91,1.11,16.66,0.11,23.6
2018,8,8,6,97.94,1.31,16.66,0.12,24.78
2018,8,8,7,97.97,1.79,16.3,0.1,25.91
2018,8,8,8,97.99,2.36,15.81,0.09,27.11
2018,8,8,9,98.02,2.93,15.5,0.08,28.07
2018,8,8,10,98.01,3.38,15.32,0.08,28.71
2018,8,8,11,97.99,3.72,15.44,0.08,29.05
2018,8,8,12,97.96,3.95,15.5,0.07,29.15
2018,8,8,13,97.94,4.13,15.62,0.07,29.12
2018,8,8,14,97.91,4.24,15.75,0.07,28.82
2018,8,8,15,97.88,4.17,15.81,0.08,28.35
2018,8,8,16,97.86,4.07,15.87,0.07,27.73
2018,8,8,17,97.84,3.9,16.05,0.07,26.89
2018,8,8,18,97.85,3.24,16.42,0.08,25.8
2018,8,8,19,97.88,2.28,16.72,0.1,24.72
2018,8,8,20,97.92,2.1,16.97,0.12,24.19
2018,8,8,21,97.91,2.06,17.15,0.15,23.85
2018,8,8,22,97.9,2.1,17.27,0.19,23.62
2018,8,8,23,97.88,2.19,17.4,0.2,23.55
2018,8,9,0,97.87,2.31,17.46,0.18,23.5
2018,8,9,1,97.89,2.56,17.46,0.18,23.55
2018,8,9,2,97.9,2.77,17.4,0.13,23.68
2018,8,9,3,97.88,2.77,17.27,0.13,23.62
2018,8,9,4,97.89,2.74,17.03,0.14,23.3
2018,8,9,5,97.9,2.81,17.03,0.14,23.73
2018,8,9,6,97.9,3.41,16.85,0.15,24.69
2018,8,9,7,97.93,3.22,16.24,0.12,25.37
2018,8,9,8,97.95,2.86,15.44,0.1,26.3
2018,8,9,9,97.98,3.0,14.59,0.09,28.07
2018,8,9,10,97.99,3.26,14.04,0.08,29.37
2018,8,9,11,98.0,3.59,13.79,0.1,30.06
2018,8,9,12,98.0,3.87,13.85,0.14,30.35
2018,8,9,13,98.0,4.16,13.98,0.19,30.46
2018,8,9,14,98.0,4.46,14.22,0.2,30.15
2018,8,9,15,98.02,4.48,14.53,0.18,28.98
2018,8,9,16,98.06,4.04,14.89,0.15,27.79
2018,8,9,17,98.11,3.48,15.2,0.12,26.63
2018,8,9,18,98.18,2.92,15.75,0.13,25.37
2018,8,9,19,98.27,2.96,16.3,0.16,24.28
2018,8,9,20,98.37,3.75,16.6,0.3,23.5
2018,8,9,21,98.42,5.0,16.3,0.5,22.87
2018,8,9,22,98.47,5.57,15.2,0.57,22.12
2018,8,9,23,98.53,5.2,13.73,0.56,21.15
2018,8,10,0,98.56,4.52,12.76,0.43,20.45
2018,8,10,1,98.57,4.43,12.27,0.28,20.19
2018,8,10,2,98.58,4.4,12.15,0.17,19.93
2018,8,10,3,98.6,4.14,12.08,0.09,19.64
2018,8,10,4,98.63,3.77,12.02,0.05,19.37
2018,8,10,5,98.67,3.75,11.9,0.03,19.76
2018,8,10,6,98.72,3.5,11.54,0.03,20.9
2018,8,10,7,98.75,3.0,10.74,0.02,22.97
2018,8,10,8,98.76,2.37,10.44,0.02,24.79
2018,8,10,9,98.78,2.15,10.74,0.02,25.92
2018,8,10,10,98.77,2.4,11.05,0.02,27.13
2018,8,10,11,98.75,2.68,11.29,0.02,27.9
2018,8,10,12,98.73,2.95,11.54,0.03,28.5
2018,8,10,13,98.71,3.21,11.66,0.04,28.73
2018,8,10,14,98.69,3.48,11.72,0.03,28.55
2018,8,10,15,98.67,3.61,11.78,0.02,28.12
2018,8,10,16,98.66,3.66,11.78,0.01,27.44
2018,8,10,17,98.66,3.75,11.96,0.0,26.3
2018,8,10,18,98.69,3.39,12.33,0.0,24.49
2018,8,10,19,98.75,2.72,12.7,0.0,22.83
2018,8,10,20,98.79,1.96,12.82,0.0,22.04
2018,8,10,21,98.81,1.33,12.76,0.0,21.51
2018,8,10,22,98.83,1.02,12.63,0.0,21.35
2018,8,10,23,98.83,1.12,12.57,0.01,21.12
2018,8,11,0,98.82,1.34,12.51,0.01,20.81
2018,8,11,1,98.81,1.5,12.45,0.01,20.56
2018,8,11,2,98.8,1.61,12.33,0.01,20.4
2018,8,11,3,98.79,1.6,12.21,0.01,20.33
2018,8,11,4,98.78,1.56,12.08,0.01,20.26
2018,8,11,5,98.79,1.59,12.27,0.01,20.9
2018,8,11,6,98.8,1.8,12.02,0.02,22.85
2018,8,11,7,98.81,1.8,11.72,0.03,24.8
2018,8,11,8,98.79,2.08,11.78,0.04,26.33
2018,8,11,9,98.78,2.53,11.96,0.03,27.48
2018,8,11,10,98.75,2.9,12.21,0.02,28.34
2018,8,11,11,98.7,3.27,12.39,0.02,29.01
2018,8,11,12,98.66,3.66,12.57,0.02,29.29
2018,8,11,13,98.61,3.89,12.76,0.03,29.23
2018,8,11,14,98.56,4.08,12.94,0.03,28.87
2018,8,11,15,98.52,4.13,13.06,0.03,28.27
2018,8,11,16,98.5,4.08,13.18,0.03,27.41
2018,8,11,17,98.47,4.01,13.43,0.02,26.19
2018,8,11,18,98.47,3.65,13.79,0.11,24.52
2018,8,11,19,98.49,3.1,14.22,0.11,23.09
2018,8,11,20,98.52,2.6,14.53,0.1,22.33
2018,8,11,21,98.51,1.97,14.77,0.12,21.94
2018,8,11,22,98.49,1.61,15.08,0.11,21.76
2018,8,11,23,98.46,1.57,15.26,0.09,21.7
2018,8,12,0,98.41,1.64,15.44,0.17,21.66
2018,8,12,1,98.37,1.69,15.62,0.28,21.65
2018,8,12,2,98.33,1.73,15.69,0.31,21.62
2018,8,12,3,98.29,1.63,15.75,0.22,21.6
2018,8,12,4,98.26,1.44,15.75,0.17,21.62
2018,8,12,5,98.26,1.2,15.93,0.14,22.22
2018,8,12,6,98.27,1.54,16.24,0.15,23.42
2018,8,12,7,98.28,2.32,16.42,0.19,24.46
2018,8,12,8,98.29,2.94,16.36,0.2,25.48
2018,8,12,9,98.29,3.39,16.24,0.21,26.29
2018,8,12,10,98.27,3.76,16.11,0.21,26.51
2018,8,12,11,98.25,4.0,16.05,0.17,26.71
2018,8,12,12,98.21,4.02,15.99,0.15,26.76
2018,8,12,13,98.16,3.92,15.99,0.12,26.8
2018,8,12,14,98.11,3.94,15.87,0.11,26.87
2018,8,12,15,98.06,4.09,15.75,0.09,26.72
2018,8,12,16,98.01,4.14,15.44,0.12,26.42
2018,8,12,17,97.99,3.62,15.38,0.19,25.65
2018,8,12,18,97.98,2.42,15.75,0.09,24.22
2018,8,12,19,97.99,2.26,15.69,0.52,23.12
2018,8,12,20,98.02,2.04,15.81,0.52,22.76
2018,8,12,21,98.03,1.73,15.69,0.39,22.56
2018,8,12,22,97.99,1.34,15.32,0.16,22.48
2018,8,12,23,97.94,0.76,15.2,0.09,22.5
2018,8,13,0,97.88,0.32,14.89,0.08,22.73
2018,8,13,1,97.84,1.5,14.95,0.22,22.48
2018,8,13,2,97.8,1.85,15.44,0.79,22.25
2018,8,13,3,97.76,2.05,15.56,0.67,22.11
2018,8,13,4,97.75,2.3,15.38,0.27,21.8
2018,8,13,5,97.8,2.05,15.5,0.1,22.05
2018,8,13,6,97.86,1.54,15.99,0.08,22.83
2018,8,13,7,97.9,1.91,15.81,0.08,23.58
2018,8,13,8,97.94,2.42,15.38,0.07,24.25
2018,8,13,9,97.96,2.8,14.65,0.06,25.52
2018,8,13,10,97.93,3.16,14.1,0.06,26.85
2018,8,13,11,97.9,3.5,13.98,0.06,27.76
2018,8,13,12,97.85,3.76,13.92,0.05,28.36
2018,8,13,13,97.81,3.81,13.98,0.05,28.58
2018,8,13,14,97.76,3.74,13.98,0.04,28.59
2018,8,13,15,97.74,3.61,13.98,0.04,28.38
2018,8,13,16,97.72,3.45,14.1,0.04,27.8
2018,8,13,17,97.72,3.35,14.4,0.05,26.8
2018,8,13,18,97.72,2.76,15.08,0.09,25.05
2018,8,13,19,97.78,2.41,15.5,0.1,23.63
2018,8,13,20,97.84,1.99,15.75,0.11,23.09
2018,8,13,21,97.9,1.49,15.87,0.13,22.81
2018,8,13,22,97.95,1.77,15.93,0.17,22.62
2018,8,13,23,97.98,2.38,16.05,0.27,22.37
2018,8,14,0,98.0,3.08,16.05,0.36,22.23
2018,8,14,1,98.02,3.74,15.75,0.35,21.97
2018,8,14,2,98.05,3.84,15.08,0.27,21.53
2018,8,14,3,98.05,3.26,14.4,0.15,21.05
2018,8,14,4,98.07,2.43,13.92,0.1,20.64
2018,8,14,5,98.1,2.34,13.79,0.06,20.91
2018,8,14,6,98.14,2.88,13.67,0.06,21.87
2018,8,14,7,98.16,3.52,13.49,0.04,23.06
2018,8,14,8,98.18,4.05,13.24,0.05,24.58
2018,8,14,9,98.2,4.55,13.0,0.05,25.64
2018,8,14,10,98.21,4.93,12.7,0.06,26.48
2018,8,14,11,98.19,5.16,12.39,0.06,27.33
2018,8,14,12,98.15,5.31,12.08,0.04,28.19
2018,8,14,13,98.11,5.36,11.78,0.02,28.8
2018,8,14,14,98.07,5.46,11.66,0.01,29.05
2018,8,14,15,98.04,5.5,11.66,0.0,28.83
2018,8,14,16,98.03,5.43,11.84,0.0,28.06
2018,8,14,17,98.04,5.54,12.39,0.0,26.66
2018,8,14,18,98.1,5.11,13.37,0.0,24.37
2018,8,14,19,98.24,4.51,14.16,0.0,22.69
2018,8,14,20,98.34,3.6,14.28,0.01,21.98
2018,8,14,21,98.37,2.72,14.22,0.02,21.82
2018,8,14,22,98.4,1.75,13.98,0.01,21.74
2018,8,14,23,98.4,1.11,13.67,0.01,21.6
2018,8,15,0,98.39,0.9,13.18,0.01,21.53
2018,8,15,1,98.39,0.86,12.57,0.01,21.4
2018,8,15,2,98.37,0.89,12.15,0.01,21.19
2018,8,15,3,98.36,0.87,11.78,0.01,20.91
2018,8,15,4,98.37,0.79,11.35,0.01,20.6
2018,8,15,5,98.38,0.75,11.35,0.01,20.66
2018,8,15,6,98.4,0.49,10.25,0.01,22.13
2018,8,15,7,98.41,1.0,10.25,0.0,23.65
2018,8,15,8,98.4,2.4,11.05,0.0,25.0
2018,8,15,9,98.4,3.26,11.72,0.0,26.23
2018,8,15,10,98.38,3.76,11.96,0.0,27.2
2018,8,15,11,98.33,4.22,12.15,0.0,28.05
2018,8,15,12,98.28,4.59,12.21,0.0,28.65
2018,8,15,13,98.23,4.94,12.21,0.0,28.98
2018,8,15,14,98.19,5.23,12.27,0.0,28.79
2018,8,15,15,98.17,5.23,12.33,0.0,28.3
2018,8,15,16,98.15,5.16,12.57,0.0,27.45
2018,8,15,17,98.15,5.08,12.94,0.0,26.05
2018,8,15,18,98.17,4.18,13.43,0.0,24.28
2018,8,15,19,98.22,2.98,13.85,0.0,22.99
2018,8,15,20,98.26,2.14,14.16,0.0,22.36
2018,8,15,21,98.27,1.79,14.4,0.01,21.9
2018,8,15,22,98.27,1.63,14.65,0.01,21.69
2018,8,15,23,98.24,1.44,14.77,0.02,21.62
2018,8,16,0,98.21,1.26,14.83,0.02,21.55
2018,8,16,1,98.18,1.1,14.83,0.03,21.51
2018,8,16,2,98.16,0.97,14.71,0.03,21.46
2018,8,16,3,98.13,0.96,14.59,0.03,21.29
2018,8,16,4,98.13,1.06,14.47,0.02,21.01
2018,8,16,5,98.14,1.04,14.47,0.02,21.32
2018,8,16,6,98.16,0.86,14.53,0.02,22.8
2018,8,16,7,98.16,0.68,13.92,0.03,24.54
2018,8,16,8,98.16,1.52,13.31,0.03,26.04
2018,8,16,9,98.15,2.24,13.31,0.03,27.02
2018,8,16,10,98.11,2.98,13.49,0.05,27.54
2018,8,16,11,98.07,3.6,13.67,0.08,27.83
2018,8,16,12,98.04,4.03,13.85,0.11,27.7
2018,8,16,13,98.02,4.2,14.04,0.12,27.33
2018,8,16,14,97.99,4.05,14.28,0.13,26.69
2018,8,16,15,97.97,3.66,14.4,0.14,26.19
2018,8,16,16,97.94,3.22,14.53,0.16,25.69
2018,8,16,17,97.95,2.74,14.83,0.19,25.03
2018,8,16,18,97.98,2.03,15.38,0.69,23.97
2018,8,16,19,98.03,2.0,15.81,1.02,23.31
2018,8,16,20,98.07,1.91,16.05,1.37,23.0
2018,8,16,21,98.07,1.8,16.05,1.11,22.77
2018,8,16,22,98.08,1.77,16.05,0.77,22.61
2018,8,16,23,98.07,1.72,15.99,0.65,22.48
2018,8,17,0,98.03,1.64,15.87,0.6,22.37
2018,8,17,1,97.99,1.71,15.87,0.5,22.23
2018,8,17,2,97.98,2.04,15.87,0.49,22.13
2018,8,17,3,98.03,2.31,15.87,0.43,22.12
2018,8,17,4,98.08,2.26,15.93,0.41,22.07
2018,8,17,5,98.11,1.87,15.87,0.38,21.98
2018,8,17,6,98.13,2.01,15.99,0.4,22.31
2018,8,17,7,98.14,2.91,15.99,0.43,22.68
2018,8,17,8,98.17,3.84,16.11,0.57,23.05
2018,8,17,9,98.2,4.71,15.99,0.71,23.42
2018,8,17,10,98.22,5.33,15.56,0.69,23.51
2018,8,17,11,98.23,5.85,15.2,0.61,23.48
2018,8,17,12,98.21,6.22,14.77,0.54,23.32
2018,8,17,13,98.19,6.16,14.4,0.6,22.95
2018,8,17,14,98.2,5.47,14.16,0.77,22.65
2018,8,17,15,98.23,4.51,14.16,1.14,22.49
2018,8,17,16,98.29,4.29,14.34,1.65,21.9
2018,8,17,17,98.24,3.51,14.4,2.57,21.01
2018,8,17,18,98.21,1.95,14.22,0.29,20.41
2018,8,17,19,98.29,0.89,13.67,0.62,20.0
2018,8,17,20,98.35,1.22,12.94,0.93,19.79
2018,8,17,21,98.36,1.95,12.51,1.27,19.29
2018,8,17,22,98.36,2.34,12.21,1.32,18.87
2018,8,17,23,98.35,2.52,11.9,0.98,18.69
2018,8,18,0,98.34,2.66,11.66,0.52,18.43
2018,8,18,1,98.32,2.69,11.29,0.22,18.09
2018,8,18,2,98.32,2.54,10.93,0.11,17.9
2018,8,18,3,98.32,2.31,10.62,0.07,17.74
2018,8,18,4,98.33,2.1,10.19,0.06,17.42
2018,8,18,5,98.34,1.71,10.38,0.06,17.86
2018,8,18,6,98.37,1.59,10.07,0.06,19.83
2018,8,18,7,98.4,0.71,9.52,0.06,21.88
2018,8,18,8,98.41,0.36,9.22,0.06,24.26
2018,8,18,9,98.41,1.04,9.16,0.06,25.84
2018,8,18,10,98.39,2.01,9.46,0.05,26.74
2018,8,18,11,98.38,2.69,9.77,0.05,27.3
2018,8,18,12,98.35,3.07,10.01,0.05,27.54
2018,8,18,13,98.33,3.4,10.25,0.05,27.51
2018,8,18,14,98.32,3.78,10.56,0.04,27.13
2018,8,18,15,98.34,3.91,10.86,0.03,26.43
2018,8,18,16,98.37,3.5,11.11,0.02,25.47
2018,8,18,17,98.39,2.77,11.47,0.01,24.38
2018,8,18,18,98.41,1.7,12.76,0.01,22.48
2018,8,18,19,98.46,1.41,12.94,0.01,21.55
2018,8,18,20,98.51,0.99,12.63,0.02,21.61
2018,8,18,21,98.53,1.0,12.39,0.02,21.52
2018,8,18,22,98.54,1.43,12.21,0.02,21.15
2018,8,18,23,98.52,1.86,12.02,0.02,20.58
2018,8,19,0,98.49,2.26,11.84,0.02,19.98
2018,8,19,1,98.47,2.55,11.47,0.02,19.63
2018,8,19,2,98.45,2.65,11.11,0.02,19.49
2018,8,19,3,98.44,2.63,10.8,0.02,19.35
2018,8,19,4,98.45,2.61,10.56,0.01,19.11
2018,8,19,5,98.48,2.48,10.74,0.01,19.43
2018,8,19,6,98.52,2.83,10.5,0.0,21.9
2018,8,19,7,98.56,1.75,9.95,0.0,24.58
2018,8,19,8,98.58,0.81,9.52,0.0,26.99
2018,8,19,9,98.58,0.82,9.46,0.0,28.3
2018,8,19,10,98.55,1.32,9.89,0.0,29.19
2018,8,19,11,98.51,1.93,10.5,0.0,29.78
2018,8,19,12,98.47,2.45,10.68,0.0,30.08
2018,8,19,13,98.43,2.85,10.8,0.0,30.23
2018,8,19,14,98.39,3.06,10.93,0.0,30.02
2018,8,19,15,98.37,3.08,10.99,0.0,29.33
2018,8,19,16,98.36,3.02,11.11,0.0,28.77
2018,8,19,17,98.35,2.83,11.47,0.0,27.64
2018,8,19,18,98.37,2.38,12.88,0.0,25.09
2018,8,19,19,98.43,2.23,13.12,0.0,23.69
2018,8,19,20,98.47,1.72,13.12,0.0,23.26
2018,8,19,21,98.48,1.21,12.76,0.0,23.32
2018,8,19,22,98.47,1.21,12.63,0.0,23.08
2018,8,19,23,98.46,1.53,12.57,0.0,22.62
