-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2019 through 03/24/2019 
Location: Latitude  41.3919   Longitude 2.1665 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 302.35 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/hour) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
PS              MERRA-2 Surface Pressure (kPa) 
-END HEADER-
YEAR,MO,DY,HR,T2M,QV2M,PRECTOTCORR,WS10M,PS
2019,1,5,1,2.35,4.33,0.0,3.95,99.55
2019,1,5,2,1.9,3.91,0.0,4.08,99.52
2019,1,5,3,1.46,3.54,0.0,4.27,99.46
2019,1,5,4,1.26,3.23,0.0,4.44,99.4
2019,1,5,5,1.43,3.17,0.0,4.56,99.36
2019,1,5,6,1.82,3.17,0.0,4.61,99.33
2019,1,5,7,2.23,3.36,0.0,4.65,99.33
2019,1,5,8,5.41,3.78,0.0,4.69,99.37
2019,1,5,9,8.85,3.85,0.0,4.61,99.38
2019,1,5,10,11.51,3.97,0.0,3.36,99.34
2019,1,5,11,14.05,3.78,0.0,2.64,99.24
2019,1,5,12,15.67,3.66,0.0,2.3,99.16
2019,1,5,13,16.31,3.72,0.0,1.87,99.12
2019,1,5,14,15.97,4.58,0.0,1.13,99.11
2019,1,5,15,13.96,5.62,0.0,1.43,99.1
2019,1,5,16,11.26,4.39,0.0,2.32,99.09
2019,1,5,17,9.26,4.33,0.0,2.9,99.12
2019,1,5,18,7.81,4.33,0.0,3.33,99.14
2019,1,5,19,6.89,4.21,0.0,3.57,99.13
2019,1,5,20,6.24,4.09,0.0,3.72,99.12
2019,1,5,21,5.87,4.03,0.0,3.82,99.1
2019,1,5,22,5.72,4.03,0.0,3.95,99.07
2019,1,5,23,5.69,3.97,0.0,4.14,99.03
2019,1,6,0,5.5,3.97,0.0,4.16,99.0
2019,1,6,1,5.34,3.91,0.0,4.31,99.02
2019,1,6,2,5.32,3.85,0.0,4.64,99.02
2019,1,6,3,5.34,3.78,0.0,4.95,99.0
2019,1,6,4,5.37,3.6,0.0,5.22,98.98
2019,1,6,5,5.19,3.48,0.0,5.34,98.99
2019,1,6,6,5.0,3.42,0.0,5.44,99.0
2019,1,6,7,5.12,3.36,0.0,5.6,99.01
2019,1,6,8,7.55,3.48,0.0,5.89,99.05
2019,1,6,9,10.12,3.66,0.0,5.6,99.07
2019,1,6,10,12.69,4.09,0.0,4.56,99.07
2019,1,6,11,15.18,4.46,0.0,3.63,99.02
2019,1,6,12,16.96,4.33,0.0,3.61,98.96
2019,1,6,13,17.51,4.76,0.0,3.27,98.93
2019,1,6,14,16.62,6.1,0.0,2.33,98.92
2019,1,6,15,13.58,6.29,0.0,2.65,98.91
2019,1,6,16,9.73,5.0,0.0,3.22,98.92
2019,1,6,17,7.83,4.46,0.0,3.47,98.95
2019,1,6,18,6.59,4.09,0.0,3.48,98.96
2019,1,6,19,5.69,3.97,0.0,3.14,98.99
2019,1,6,20,4.97,3.91,0.0,2.65,99.04
2019,1,6,21,4.4,3.78,0.0,2.25,99.07
2019,1,6,22,3.62,3.54,0.0,2.33,99.09
2019,1,6,23,2.68,3.36,0.0,2.71,99.09
2019,1,7,0,1.91,3.17,0.0,3.1,99.11
2019,1,7,1,1.81,3.11,0.0,3.44,99.13
2019,1,7,2,2.2,3.05,0.0,3.45,99.12
2019,1,7,3,2.58,3.05,0.0,3.24,99.08
2019,1,7,4,2.91,3.05,0.0,2.97,99.06
2019,1,7,5,3.2,2.99,0.0,2.74,99.07
2019,1,7,6,3.33,2.99,0.0,2.62,99.08
2019,1,7,7,3.75,2.99,0.0,2.58,99.12
2019,1,7,8,6.48,3.54,0.0,2.03,99.18
2019,1,7,9,9.28,3.54,0.0,2.02,99.25
2019,1,7,10,11.14,3.66,0.0,0.99,99.27
2019,1,7,11,12.55,3.85,0.0,0.99,99.21
2019,1,7,12,13.36,3.85,0.0,0.95,99.14
2019,1,7,13,13.82,3.85,0.0,1.02,99.1
2019,1,7,14,13.68,4.15,0.0,1.2,99.08
2019,1,7,15,11.64,5.37,0.0,1.67,99.09
2019,1,7,16,8.76,4.64,0.0,2.14,99.14
2019,1,7,17,7.37,4.58,0.0,2.28,99.22
2019,1,7,18,6.4,4.76,0.0,2.54,99.31
2019,1,7,19,5.74,4.94,0.0,2.85,99.38
2019,1,7,20,5.26,5.07,0.0,2.95,99.41
2019,1,7,21,4.97,5.13,0.0,2.88,99.43
2019,1,7,22,5.04,5.0,0.0,2.68,99.41
2019,1,7,23,5.42,4.82,0.0,2.42,99.38
2019,1,8,0,5.37,4.52,0.0,2.23,99.35
2019,1,8,1,5.66,4.09,0.0,2.05,99.32
2019,1,8,2,4.83,3.66,0.0,1.98,99.27
2019,1,8,3,3.99,3.36,0.0,2.29,99.21
2019,1,8,4,3.23,3.11,0.0,2.64,99.15
2019,1,8,5,2.65,2.99,0.0,2.96,99.13
2019,1,8,6,2.07,3.05,0.0,3.27,99.11
2019,1,8,7,2.15,3.23,0.0,3.51,99.1
2019,1,8,8,5.33,3.85,0.0,3.25,99.12
2019,1,8,9,8.27,3.78,0.0,3.72,99.13
2019,1,8,10,10.57,4.03,0.0,2.59,99.12
2019,1,8,11,13.15,3.85,0.0,1.73,99.03
2019,1,8,12,14.44,3.72,0.0,0.64,98.92
2019,1,8,13,14.94,3.72,0.0,0.82,98.84
2019,1,8,14,14.49,4.27,0.0,1.67,98.79
2019,1,8,15,12.02,5.62,0.0,2.04,98.74
2019,1,8,16,9.08,5.07,0.0,2.84,98.71
2019,1,8,17,8.05,5.07,0.0,3.15,98.68
2019,1,8,18,7.67,5.13,0.0,3.24,98.67
2019,1,8,19,7.11,5.07,0.0,3.23,98.67
2019,1,8,20,6.48,4.94,0.0,3.24,98.66
2019,1,8,21,6.11,4.82,0.0,3.16,98.62
2019,1,8,22,5.73,4.76,0.0,3.18,98.58
2019,1,8,23,5.07,4.7,0.0,3.54,98.54
2019,1,9,0,4.01,4.58,0.0,3.94,98.49
2019,1,9,1,3.54,4.52,0.0,4.29,98.45
2019,1,9,2,3.39,4.52,0.0,4.59,98.41
2019,1,9,3,3.33,4.46,0.0,4.87,98.34
2019,1,9,4,3.33,4.33,0.0,5.01,98.29
2019,1,9,5,3.23,4.21,0.0,4.88,98.27
2019,1,9,6,3.01,4.03,0.0,4.7,98.27
2019,1,9,7,3.19,3.97,0.0,4.62,98.28
2019,1,9,8,6.14,4.39,0.0,4.15,98.28
2019,1,9,9,8.87,3.97,0.0,4.49,98.27
2019,1,9,10,10.72,3.6,0.0,4.37,98.21
2019,1,9,11,12.15,3.42,0.0,4.24,98.13
2019,1,9,12,13.1,3.36,0.0,4.23,98.03
2019,1,9,13,13.42,3.42,0.0,4.39,97.93
2019,1,9,14,12.99,3.54,0.0,4.16,97.87
2019,1,9,15,10.8,4.52,0.0,2.81,97.88
2019,1,9,16,7.53,4.15,0.0,3.01,97.92
2019,1,9,17,6.48,3.85,0.0,3.02,97.99
2019,1,9,18,5.73,3.6,0.0,2.88,98.05
2019,1,9,19,4.98,3.48,0.0,2.91,98.11
2019,1,9,20,4.73,3.3,0.0,2.55,98.17
2019,1,9,21,4.38,3.11,0.0,2.39,98.19
2019,1,9,22,3.57,2.99,0.0,2.62,98.19
2019,1,9,23,2.98,2.93,0.0,2.98,98.17
2019,1,10,0,2.43,2.93,0.0,3.29,98.14
2019,1,10,1,1.89,2.87,0.0,3.45,98.13
2019,1,10,2,1.29,2.87,0.0,3.58,98.11
2019,1,10,3,0.68,2.81,0.0,3.86,98.09
2019,1,10,4,0.23,2.81,0.0,4.12,98.07
2019,1,10,5,0.04,2.81,0.0,4.2,98.07
2019,1,10,6,-0.1,2.75,0.0,4.24,98.11
2019,1,10,7,0.26,2.81,0.0,4.22,98.16
2019,1,10,8,3.51,3.05,0.0,4.2,98.21
2019,1,10,9,5.73,2.69,0.0,5.36,98.24
2019,1,10,10,6.9,2.5,0.0,5.49,98.27
2019,1,10,11,7.83,2.38,0.0,5.21,98.24
2019,1,10,12,8.55,2.32,0.0,4.63,98.18
2019,1,10,13,8.88,2.26,0.0,3.94,98.15
2019,1,10,14,8.7,2.38,0.0,3.25,98.17
2019,1,10,15,7.08,3.36,0.0,2.12,98.22
2019,1,10,16,4.62,2.87,0.0,2.41,98.27
2019,1,10,17,3.15,2.75,0.0,2.77,98.31
2019,1,10,18,1.9,2.75,0.0,3.13,98.36
2019,1,10,19,0.99,2.75,0.0,3.37,98.4
2019,1,10,20,0.52,2.75,0.0,3.43,98.44
2019,1,10,21,0.21,2.69,0.0,3.49,98.46
2019,1,10,22,0.09,2.75,0.0,3.46,98.48
2019,1,10,23,0.07,2.69,0.0,3.34,98.48
2019,1,11,0,0.07,2.69,0.0,3.25,98.49
2019,1,11,1,0.08,2.62,0.0,3.18,98.51
2019,1,11,2,-0.0,2.62,0.0,3.17,98.52
2019,1,11,3,-0.24,2.62,0.0,3.23,98.52
2019,1,11,4,-0.52,2.62,0.0,3.29,98.54
2019,1,11,5,-0.59,2.56,0.0,3.2,98.58
2019,1,11,6,-0.45,2.56,0.0,2.99,98.62
2019,1,11,7,0.08,2.62,0.0,2.71,98.66
2019,1,11,8,2.59,2.93,0.0,2.16,98.72
2019,1,11,9,4.74,2.5,0.0,2.14,98.78
2019,1,11,10,6.26,2.26,0.0,1.59,98.79
2019,1,11,11,7.84,1.95,0.0,0.84,98.75
2019,1,11,12,8.9,1.83,0.0,0.52,98.7
2019,1,11,13,9.32,1.77,0.0,0.66,98.68
2019,1,11,14,9.11,2.08,0.0,0.81,98.7
2019,1,11,15,7.6,2.87,0.0,1.12,98.73
2019,1,11,16,5.62,2.5,0.0,1.66,98.79
2019,1,11,17,4.17,2.56,0.0,2.32,98.87
2019,1,11,18,2.8,2.69,0.0,2.88,98.93
2019,1,11,19,2.09,2.75,0.0,3.06,98.98
2019,1,11,20,2.13,2.75,0.0,2.76,99.02
2019,1,11,21,2.44,2.81,0.0,1.99,99.05
2019,1,11,22,2.44,2.81,0.0,1.55,99.06
2019,1,11,23,1.62,2.93,0.0,2.31,99.07
2019,1,12,0,0.88,3.05,0.0,3.2,99.08
2019,1,12,1,0.69,3.17,0.0,3.61,99.11
2019,1,12,2,0.66,3.23,0.0,3.77,99.11
2019,1,12,3,0.75,3.3,0.0,3.76,99.07
2019,1,12,4,0.96,3.36,0.0,3.58,99.03
2019,1,12,5,1.2,3.36,0.0,3.26,99.02
2019,1,12,6,1.4,3.36,0.0,2.99,99.02
2019,1,12,7,1.86,3.42,0.0,2.74,99.04
2019,1,12,8,4.73,4.03,0.0,2.16,99.06
2019,1,12,9,7.12,3.78,0.0,2.04,99.08
2019,1,12,10,9.3,3.78,0.0,1.19,99.06
2019,1,12,11,11.68,3.6,0.0,1.73,98.99
2019,1,12,12,12.51,3.78,0.0,2.86,98.92
2019,1,12,13,12.81,3.97,0.0,3.57,98.87
2019,1,12,14,12.61,4.27,0.0,3.67,98.83
2019,1,12,15,10.44,5.25,0.0,2.95,98.81
2019,1,12,16,7.28,4.64,0.0,3.4,98.83
2019,1,12,17,6.4,4.46,0.0,3.26,98.89
2019,1,12,18,5.67,4.33,0.0,3.07,98.94
2019,1,12,19,4.83,4.21,0.0,3.01,98.94
2019,1,12,20,3.9,4.09,0.0,3.12,98.92
2019,1,12,21,3.0,3.97,0.0,3.59,98.91
2019,1,12,22,2.45,3.85,0.0,3.79,98.91
2019,1,12,23,1.95,3.78,0.0,3.68,98.88
2019,1,13,0,1.47,3.78,0.0,3.38,98.85
2019,1,13,1,1.34,3.72,0.0,3.07,98.83
2019,1,13,2,1.27,3.72,0.0,3.05,98.81
2019,1,13,3,1.0,3.72,0.0,3.27,98.78
2019,1,13,4,0.91,3.78,0.0,3.54,98.73
2019,1,13,5,1.15,3.85,0.0,3.66,98.72
2019,1,13,6,1.65,3.91,0.0,3.67,98.72
2019,1,13,7,2.52,4.03,0.0,3.63,98.72
2019,1,13,8,6.01,4.7,0.0,3.24,98.76
2019,1,13,9,9.11,4.76,0.0,3.21,98.78
2019,1,13,10,11.37,4.76,0.0,2.75,98.77
2019,1,13,11,13.33,4.94,0.0,2.72,98.71
2019,1,13,12,14.87,5.0,0.0,2.61,98.64
2019,1,13,13,15.61,5.13,0.0,2.51,98.58
2019,1,13,14,15.28,5.62,0.0,2.35,98.53
2019,1,13,15,13.08,6.84,0.0,2.12,98.5
2019,1,13,16,9.99,5.86,0.0,2.98,98.49
2019,1,13,17,8.55,5.49,0.0,3.57,98.5
2019,1,13,18,7.69,5.43,0.0,3.93,98.49
2019,1,13,19,6.92,5.25,0.0,4.16,98.48
2019,1,13,20,6.33,5.13,0.0,4.4,98.46
2019,1,13,21,6.11,4.94,0.0,4.69,98.41
2019,1,13,22,5.94,4.88,0.0,4.88,98.37
2019,1,13,23,5.83,4.88,0.0,5.03,98.3
2019,1,14,0,5.87,4.88,0.0,5.25,98.25
2019,1,14,1,6.13,4.88,0.0,5.71,98.23
2019,1,14,2,6.63,4.94,0.0,5.96,98.19
2019,1,14,3,7.01,5.0,0.0,6.0,98.14
2019,1,14,4,7.12,4.94,0.0,6.09,98.09
2019,1,14,5,6.64,4.82,0.0,5.98,98.05
2019,1,14,6,6.3,4.7,0.0,5.83,98.03
2019,1,14,7,6.22,4.64,0.0,5.37,98.02
2019,1,14,8,8.15,4.82,0.0,5.36,98.04
2019,1,14,9,10.46,5.0,0.0,4.64,98.07
2019,1,14,10,13.33,5.07,0.0,4.45,98.09
2019,1,14,11,15.34,5.31,0.0,3.51,98.06
2019,1,14,12,16.44,5.55,0.0,2.57,98.05
2019,1,14,13,16.71,5.49,0.0,2.28,98.06
2019,1,14,14,16.03,5.55,0.0,2.22,98.11
2019,1,14,15,13.74,6.71,0.0,1.53,98.17
2019,1,14,16,11.03,5.68,0.0,1.63,98.24
2019,1,14,17,10.08,5.25,0.0,1.34,98.3
2019,1,14,18,9.81,4.94,0.0,1.18,98.34
2019,1,14,19,8.78,4.94,0.0,1.16,98.4
2019,1,14,20,7.62,4.88,0.0,1.52,98.45
2019,1,14,21,6.76,4.76,0.0,1.83,98.47
2019,1,14,22,5.68,4.64,0.0,2.18,98.48
2019,1,14,23,4.21,4.39,0.0,2.76,98.46
2019,1,15,0,3.28,4.15,0.0,3.26,98.45
2019,1,15,1,2.83,3.91,0.0,3.6,98.48
2019,1,15,2,2.86,3.66,0.0,3.7,98.49
2019,1,15,3,4.12,3.36,0.0,3.2,98.48
2019,1,15,4,5.87,3.05,0.0,2.45,98.47
2019,1,15,5,7.11,2.87,0.0,1.53,98.49
2019,1,15,6,7.4,2.87,0.0,1.15,98.53
2019,1,15,7,6.48,3.05,0.0,1.33,98.56
2019,1,15,8,7.66,4.21,0.0,1.43,98.62
2019,1,15,9,9.65,4.03,0.0,2.02,98.66
2019,1,15,10,10.87,4.58,0.0,2.21,98.67
2019,1,15,11,12.19,5.07,0.0,2.38,98.61
2019,1,15,12,12.87,5.31,0.0,2.64,98.53
2019,1,15,13,13.17,5.43,0.0,2.74,98.48
2019,1,15,14,12.97,5.55,0.0,2.77,98.46
2019,1,15,15,11.56,6.35,0.0,2.13,98.44
2019,1,15,16,8.76,5.92,0.0,2.34,98.41
2019,1,15,17,8.04,5.86,0.0,2.16,98.42
2019,1,15,18,7.91,5.92,0.0,1.73,98.44
2019,1,15,19,8.08,5.98,0.0,1.18,98.44
2019,1,15,20,7.94,5.92,0.0,0.7,98.45
2019,1,15,21,7.02,5.8,0.0,0.89,98.45
2019,1,15,22,6.44,5.55,0.0,1.32,98.42
2019,1,15,23,5.8,5.25,0.0,1.69,98.38
2019,1,16,0,5.33,5.0,0.0,2.02,98.34
2019,1,16,1,4.75,4.76,0.0,2.33,98.32
2019,1,16,2,4.01,4.64,0.0,2.7,98.28
2019,1,16,3,3.62,4.52,0.0,2.84,98.24
2019,1,16,4,3.57,4.46,0.0,2.8,98.2
2019,1,16,5,3.69,4.46,0.0,2.7,98.18
2019,1,16,6,3.97,4.52,0.0,2.54,98.17
2019,1,16,7,4.65,4.58,0.0,2.35,98.16
2019,1,16,8,7.23,5.25,0.0,2.03,98.18
2019,1,16,9,9.8,5.49,0.0,3.04,98.19
2019,1,16,10,11.44,6.1,0.0,4.55,98.2
2019,1,16,11,12.33,6.35,0.0,5.36,98.14
2019,1,16,12,12.85,6.41,0.0,5.55,98.06
2019,1,16,13,12.99,6.41,0.0,5.45,98.01
2019,1,16,14,12.72,6.47,0.0,5.19,97.97
2019,1,16,15,11.62,6.65,0.0,4.08,97.94
2019,1,16,16,8.71,6.59,0.0,3.54,97.93
2019,1,16,17,7.76,6.59,0.0,3.5,97.95
2019,1,16,18,7.48,6.53,0.0,3.28,97.97
2019,1,16,19,7.29,6.41,0.0,3.05,98.0
2019,1,16,20,7.19,6.35,0.0,2.84,98.01
2019,1,16,21,7.14,6.29,0.0,2.71,98.03
2019,1,16,22,7.0,6.29,0.0,2.68,98.02
2019,1,16,23,6.72,6.29,0.0,2.67,97.98
2019,1,17,0,6.3,6.16,0.0,2.71,97.93
2019,1,17,1,5.83,6.1,0.0,2.74,97.92
2019,1,17,2,5.34,5.98,0.0,2.81,97.89
2019,1,17,3,4.81,5.8,0.0,2.9,97.86
2019,1,17,4,4.33,5.55,0.0,2.94,97.84
2019,1,17,5,4.23,5.25,0.01,2.88,97.84
2019,1,17,6,4.28,5.0,0.0,2.72,97.86
2019,1,17,7,4.5,4.76,0.0,2.52,97.89
2019,1,17,8,6.45,5.07,0.0,2.3,97.93
2019,1,17,9,8.53,4.88,0.0,2.19,97.98
2019,1,17,10,10.62,5.13,0.0,1.45,98.0
2019,1,17,11,11.53,5.13,0.0,1.56,97.96
2019,1,17,12,11.83,5.19,0.0,2.04,97.91
2019,1,17,13,11.82,5.37,0.01,2.66,97.88
2019,1,17,14,11.17,5.62,0.01,3.23,97.91
2019,1,17,15,10.08,6.1,0.0,3.05,97.94
2019,1,17,16,8.26,6.29,0.0,2.72,97.98
2019,1,17,17,7.44,6.23,0.01,2.78,98.02
2019,1,17,18,7.37,6.23,0.15,2.45,98.05
2019,1,17,19,7.59,6.16,0.14,1.87,98.07
2019,1,17,20,7.48,6.1,0.12,1.45,98.1
2019,1,17,21,7.26,6.1,0.15,1.25,98.13
2019,1,17,22,7.03,6.04,0.15,1.1,98.15
2019,1,17,23,6.76,5.92,0.2,1.18,98.16
2019,1,18,0,6.55,5.86,0.25,1.41,98.14
2019,1,18,1,6.58,5.86,0.3,1.55,98.16
2019,1,18,2,6.57,5.8,0.3,1.64,98.17
2019,1,18,3,6.46,5.74,0.28,1.74,98.15
2019,1,18,4,6.32,5.62,0.2,1.9,98.13
2019,1,18,5,6.26,5.55,0.15,2.03,98.13
2019,1,18,6,6.3,5.55,0.13,2.21,98.13
2019,1,18,7,6.42,5.62,0.11,2.5,98.13
2019,1,18,8,6.92,5.8,0.11,2.82,98.16
2019,1,18,9,7.3,5.8,0.09,3.63,98.2
2019,1,18,10,7.26,5.86,0.08,3.93,98.23
2019,1,18,11,7.3,5.92,0.07,3.94,98.18
2019,1,18,12,7.96,5.8,0.02,3.82,98.1
2019,1,18,13,8.65,5.43,0.01,3.48,98.03
2019,1,18,14,8.59,5.07,0.0,3.08,98.0
2019,1,18,15,7.59,5.19,0.0,2.24,97.97
2019,1,18,16,6.03,4.82,0.0,2.53,97.96
2019,1,18,17,5.37,4.58,0.0,2.62,97.94
2019,1,18,18,4.9,4.46,0.0,2.69,97.95
2019,1,18,19,4.41,4.39,0.0,2.76,97.95
2019,1,18,20,4.04,4.33,0.0,2.74,97.95
2019,1,18,21,3.8,4.27,0.0,2.59,97.94
2019,1,18,22,3.73,4.21,0.0,2.38,97.94
2019,1,18,23,3.73,4.21,0.0,2.2,97.93
2019,1,19,0,3.75,4.21,0.0,2.01,97.91
2019,1,19,1,3.77,4.21,0.0,1.84,97.92
2019,1,19,2,3.82,4.33,0.0,1.74,97.91
2019,1,19,3,3.73,4.46,0.0,1.79,97.88
2019,1,19,4,3.19,4.58,0.0,1.97,97.86
2019,1,19,5,2.83,4.7,0.0,2.11,97.86
2019,1,19,6,3.05,4.76,0.0,2.09,97.88
2019,1,19,7,3.8,4.82,0.0,1.87,97.9
2019,1,19,8,5.74,5.0,0.0,1.67,97.93
2019,1,19,9,7.3,4.94,0.0,1.04,97.98
2019,1,19,10,8.37,4.88,0.0,0.73,97.99
2019,1,19,11,9.42,4.76,0.0,0.99,97.91
2019,1,19,12,10.26,4.7,0.0,1.51,97.81
2019,1,19,13,10.59,4.64,0.0,1.98,97.74
2019,1,19,14,10.41,4.64,0.0,2.36,97.69
2019,1,19,15,9.53,4.88,0.0,2.23,97.65
2019,1,19,16,6.7,4.94,0.0,2.37,97.61
2019,1,19,17,5.65,4.7,0.0,2.58,97.6
2019,1,19,18,5.38,4.76,0.0,2.56,97.61
2019,1,19,19,5.28,4.82,0.0,2.5,97.59
2019,1,19,20,5.21,4.94,0.0,2.48,97.56
2019,1,19,21,5.17,5.0,0.0,2.42,97.55
2019,1,19,22,5.48,5.13,0.02,2.33,97.54
2019,1,19,23,5.83,5.25,0.1,2.28,97.5
